	gene_short_name
4930453O03Rik	4930453O03Rik
Spp2	Spp2
Gm29538	Gm29538
Gm28888	Gm28888
Glrp1	Glrp1
Gm19589	Gm19589
Gm29336	Gm29336
Arl4c	Arl4c
Platr5	Platr5
Gm29337	Gm29337
1700067G17Rik	1700067G17Rik
Sh3bp4	Sh3bp4
Gm28342	Gm28342
C030007H22Rik	C030007H22Rik
Agap1	Agap1
Gbx2	Gbx2
Asb18	Asb18
Iqca	Iqca
4930434B07Rik	4930434B07Rik
Ackr3	Ackr3
Gm28721	Gm28721
Gm28723	Gm28723
Gm28722	Gm28722
Cops8	Cops8
Gm9991	Gm9991
Col6a3	Col6a3
Mlph	Mlph
Prlh	Prlh
Rab17	Rab17
Gm28199	Gm28199
Lrrfip1	Lrrfip1
Rbm44	Rbm44
Ramp1	Ramp1
Ube2f	Ube2f
Gm26683	Gm26683
Scly	Scly
Gm17090	Gm17090
Espnl	Espnl
Klhl30	Klhl30
Fam132b	Fam132b
Ilkap	Ilkap
1700020N18Rik	1700020N18Rik
Hes6	Hes6
Per2	Per2
Gm28382	Gm28382
Traf3ip1	Traf3ip1
Asb1	Asb1
Gm28380	Gm28380
Gm29100	Gm29100
Twist2	Twist2
Hdac4	Hdac4
Gm26720	Gm26720
Gm29099	Gm29099
Ndufa10	Ndufa10
Olfr1416	Olfr1416
Olfr1415	Olfr1415
Olfr1414	Olfr1414
1700054K02Rik	1700054K02Rik
Olfr1413	Olfr1413
Gm28479	Gm28479
Olfr1412	Olfr1412
Olfr1411	Olfr1411
Olfr1410	Olfr1410
Olfr12	Olfr12
Myeov2	Myeov2
Otos	Otos
Gm29483	Gm29483
Gm29482	Gm29482
Gm29481	Gm29481
Gpc1	Gpc1
Gm29480	Gm29480
Ankmy1	Ankmy1
Dusp28	Dusp28
5033417F24Rik	5033417F24Rik
Rnpepl1	Rnpepl1
9430060I03Rik	9430060I03Rik
Capn10	Capn10
Gpr35	Gpr35
Aqp12	Aqp12
Kif1a	Kif1a
Gm28086	Gm28086
Agxt	Agxt
2310007B03Rik	2310007B03Rik
Crocc2	Crocc2
Sned1	Sned1
Mterf4	Mterf4
Gm28535	Gm28535
Pask	Pask
Ppp1r7	Ppp1r7
Ano7	Ano7
Hdlbp	Hdlbp
Sept2	Sept2
Farp2	Farp2
Stk25	Stk25
Gm28536	Gm28536
Bok	Bok
Thap4	Thap4
Gm10550	Gm10550
Atg4b	Atg4b
Dtymk	Dtymk
Ing5	Ing5
D2hgdh	D2hgdh
Gal3st2	Gal3st2
Gm9994	Gm9994
Gm6086	Gm6086
Neu4	Neu4
Pdcd1	Pdcd1
4930440C22Rik	4930440C22Rik
Fam174a	Fam174a
St8sia4	St8sia4
4930598F16Rik	4930598F16Rik
1700063A18Rik	1700063A18Rik
